WARNING 2020-08-07 12:14:34,935 log 77017 123145530134528 Not Found: /errorhandler
WARNING 2020-08-07 12:14:34,937 log 77017 123145519624192 Not Found: /weather
WARNING 2020-08-07 12:14:34,937 basehttp 77017 123145530134528 "POST /errorhandler HTTP/1.1" 404 2191
WARNING 2020-08-07 12:14:34,937 basehttp 77017 123145519624192 "POST /weather HTTP/1.1" 404 2176
WARNING 2020-08-07 12:14:35,035 log 77017 123145519624192 Not Found: /errorhandler
WARNING 2020-08-07 12:14:35,038 basehttp 77017 123145519624192 "POST /errorhandler HTTP/1.1" 404 2191
WARNING 2020-08-07 12:14:35,039 log 77017 123145530134528 Not Found: /errorhandler
WARNING 2020-08-07 12:14:35,039 basehttp 77017 123145530134528 "POST /errorhandler HTTP/1.1" 404 2191
INFO 2020-08-07 12:16:43,516 autoreload 77017 4551687616 /Users/liguosheng/PycharmProjects/dublin-bus-rtpi/dublinbus/user_manage/views.py changed, reloading.
INFO 2020-08-07 12:16:44,393 autoreload 77061 4601503168 Watching for file changes with StatReloader
INFO 2020-08-07 12:16:52,969 basehttp 77061 123145513627648 "GET /user_manage/login/ HTTP/1.1" 200 2695
INFO 2020-08-07 12:17:01,419 basehttp 77061 123145513627648 "POST /user_manage/login/ HTTP/1.1" 200 671
INFO 2020-08-07 12:17:37,237 basehttp 77061 123145513627648 "POST /user_manage/logout/ HTTP/1.1" 302 0
INFO 2020-08-07 12:17:37,289 basehttp 77061 123145513627648 "GET /app01/index HTTP/1.1" 200 934855
INFO 2020-08-07 12:17:37,313 basehttp 77061 123145518882816 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2020-08-07 12:17:37,320 basehttp 77061 123145518882816 "GET /static/js/station_map.js HTTP/1.1" 304 0
WARNING 2020-08-07 12:17:37,488 log 77061 123145524137984 Not Found: /errorhandler
WARNING 2020-08-07 12:17:37,489 log 77061 123145513627648 Not Found: /weather
WARNING 2020-08-07 12:17:37,490 log 77061 123145518882816 Not Found: /init
WARNING 2020-08-07 12:17:37,491 basehttp 77061 123145513627648 "POST /weather HTTP/1.1" 404 2176
WARNING 2020-08-07 12:17:37,491 basehttp 77061 123145524137984 "POST /errorhandler HTTP/1.1" 404 2191
WARNING 2020-08-07 12:17:37,491 basehttp 77061 123145518882816 "POST /init HTTP/1.1" 404 2167
WARNING 2020-08-07 12:17:37,611 log 77061 123145518882816 Not Found: /errorhandler
WARNING 2020-08-07 12:17:37,612 log 77061 123145513627648 Not Found: /errorhandler
WARNING 2020-08-07 12:17:37,613 basehttp 77061 123145518882816 "POST /errorhandler HTTP/1.1" 404 2191
WARNING 2020-08-07 12:17:37,613 basehttp 77061 123145513627648 "POST /errorhandler HTTP/1.1" 404 2191
INFO 2020-08-07 12:19:55,171 autoreload 77061 4601503168 /Users/liguosheng/PycharmProjects/dublin-bus-rtpi/dublinbus/user_manage/views.py changed, reloading.
INFO 2020-08-07 12:19:56,039 autoreload 77138 4536810944 Watching for file changes with StatReloader
INFO 2020-08-07 12:23:06,257 autoreload 77190 4534345152 Watching for file changes with StatReloader
INFO 2020-08-07 12:23:10,801 basehttp 77190 123145568092160 "GET /user_manage/register HTTP/1.1" 301 0
INFO 2020-08-07 12:23:10,817 basehttp 77190 123145568092160 "GET /user_manage/register/ HTTP/1.1" 200 6836
INFO 2020-08-07 12:23:10,850 basehttp 77190 123145573347328 "GET /static/css/register.css HTTP/1.1" 304 0
INFO 2020-08-07 12:23:10,851 basehttp 77190 123145568092160 "GET /static/js/register.js HTTP/1.1" 200 5691
INFO 2020-08-07 12:23:34,211 basehttp 77190 123145568092160 "POST /user_manage/register/ HTTP/1.1" 200 6855
INFO 2020-08-07 12:23:58,352 basehttp 77190 123145568092160 "POST /user_manage/register/ HTTP/1.1" 200 2725
INFO 2020-08-07 12:23:58,376 basehttp 77190 123145568092160 "GET /static/js/login.js HTTP/1.1" 304 0
INFO 2020-08-07 12:24:15,206 basehttp 77190 123145568092160 "POST /user_manage/login/ HTTP/1.1" 200 672
INFO 2020-08-07 12:25:01,520 autoreload 77190 4534345152 /Users/liguosheng/PycharmProjects/dublin-bus-rtpi/dublinbus/user_manage/views.py changed, reloading.
INFO 2020-08-07 12:25:02,579 autoreload 77212 4616338880 Watching for file changes with StatReloader
INFO 2020-08-07 12:25:04,773 basehttp 77212 123145357045760 "POST /user_manage/logout/ HTTP/1.1" 302 0
INFO 2020-08-07 12:25:04,836 basehttp 77212 123145357045760 "GET /app01/index HTTP/1.1" 200 934855
INFO 2020-08-07 12:25:04,864 basehttp 77212 123145362300928 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2020-08-07 12:25:04,873 basehttp 77212 123145357045760 "GET /static/js/station_map.js HTTP/1.1" 304 0
WARNING 2020-08-07 12:25:05,334 log 77212 123145357045760 Not Found: /init
WARNING 2020-08-07 12:25:05,336 log 77212 123145367556096 Not Found: /errorhandler
WARNING 2020-08-07 12:25:05,336 basehttp 77212 123145357045760 "POST /init HTTP/1.1" 404 2167
WARNING 2020-08-07 12:25:05,338 log 77212 123145362300928 Not Found: /weather
WARNING 2020-08-07 12:25:05,338 basehttp 77212 123145367556096 "POST /errorhandler HTTP/1.1" 404 2191
WARNING 2020-08-07 12:25:05,339 basehttp 77212 123145362300928 "POST /weather HTTP/1.1" 404 2176
WARNING 2020-08-07 12:25:05,474 log 77212 123145362300928 Not Found: /errorhandler
WARNING 2020-08-07 12:25:05,475 log 77212 123145367556096 Not Found: /errorhandler
WARNING 2020-08-07 12:25:05,476 basehttp 77212 123145367556096 "POST /errorhandler HTTP/1.1" 404 2191
WARNING 2020-08-07 12:25:05,476 basehttp 77212 123145362300928 "POST /errorhandler HTTP/1.1" 404 2191
INFO 2020-08-07 12:26:24,262 basehttp 77212 123145367556096 "GET / HTTP/1.1" 200 934855
WARNING 2020-08-07 12:26:24,839 log 77212 123145367556096 Not Found: /init
WARNING 2020-08-07 12:26:24,839 basehttp 77212 123145367556096 "POST /init HTTP/1.1" 404 2167
WARNING 2020-08-07 12:26:24,840 log 77212 123145362300928 Not Found: /weather
WARNING 2020-08-07 12:26:24,841 log 77212 123145357045760 Not Found: /errorhandler
WARNING 2020-08-07 12:26:24,842 basehttp 77212 123145362300928 "POST /weather HTTP/1.1" 404 2176
WARNING 2020-08-07 12:26:24,842 basehttp 77212 123145357045760 "POST /errorhandler HTTP/1.1" 404 2191
WARNING 2020-08-07 12:26:24,963 log 77212 123145357045760 Not Found: /errorhandler
WARNING 2020-08-07 12:26:24,963 basehttp 77212 123145357045760 "POST /errorhandler HTTP/1.1" 404 2191
WARNING 2020-08-07 12:26:24,983 log 77212 123145357045760 Not Found: /errorhandler
WARNING 2020-08-07 12:26:24,983 basehttp 77212 123145357045760 "POST /errorhandler HTTP/1.1" 404 2191
INFO 2020-08-07 12:26:36,973 basehttp 77212 123145357045760 "GET /user_manage/login/ HTTP/1.1" 200 2695
INFO 2020-08-07 12:26:48,388 basehttp 77212 123145357045760 "GET /user_manage/register/ HTTP/1.1" 200 6836
INFO 2020-08-07 12:27:21,614 basehttp 77212 123145357045760 "POST /user_manage/register/ HTTP/1.1" 200 2725
INFO 2020-08-07 12:27:36,635 basehttp 77212 123145357045760 "POST /user_manage/login/ HTTP/1.1" 200 672
INFO 2020-08-07 12:27:49,226 basehttp 77212 123145357045760 "POST /user_manage/logout/ HTTP/1.1" 302 0
INFO 2020-08-07 12:27:49,276 basehttp 77212 123145357045760 "GET /app01/index HTTP/1.1" 200 934855
WARNING 2020-08-07 12:27:49,483 log 77212 123145357045760 Not Found: /init
WARNING 2020-08-07 12:27:49,487 basehttp 77212 123145357045760 "POST /init HTTP/1.1" 404 2167
WARNING 2020-08-07 12:27:49,489 log 77212 123145362300928 Not Found: /weather
WARNING 2020-08-07 12:27:49,490 log 77212 123145367556096 Not Found: /errorhandler
WARNING 2020-08-07 12:27:49,491 basehttp 77212 123145362300928 "POST /weather HTTP/1.1" 404 2176
WARNING 2020-08-07 12:27:49,491 basehttp 77212 123145367556096 "POST /errorhandler HTTP/1.1" 404 2191
WARNING 2020-08-07 12:27:49,632 log 77212 123145367556096 Not Found: /errorhandler
WARNING 2020-08-07 12:27:49,634 log 77212 123145362300928 Not Found: /errorhandler
WARNING 2020-08-07 12:27:49,634 basehttp 77212 123145362300928 "POST /errorhandler HTTP/1.1" 404 2191
WARNING 2020-08-07 12:27:49,635 basehttp 77212 123145367556096 "POST /errorhandler HTTP/1.1" 404 2191
INFO 2020-08-07 12:33:26,790 autoreload 77212 4616338880 /Users/liguosheng/PycharmProjects/dublin-bus-rtpi/dublinbus/user_manage/views.py changed, reloading.
INFO 2020-08-07 12:33:27,813 autoreload 77312 4484054464 Watching for file changes with StatReloader
INFO 2020-08-07 12:33:38,438 basehttp 77312 123145554558976 "GET /user_manage/login/ HTTP/1.1" 200 2695
INFO 2020-08-07 12:33:38,468 basehttp 77312 123145554558976 "GET /static/css/register.css HTTP/1.1" 304 0
INFO 2020-08-07 12:33:38,468 basehttp 77312 123145559814144 "GET /static/js/login.js HTTP/1.1" 304 0
INFO 2020-08-07 12:35:36,184 autoreload 77312 4484054464 /Users/liguosheng/PycharmProjects/dublin-bus-rtpi/dublinbus/user_manage/views.py changed, reloading.
INFO 2020-08-07 12:35:37,034 autoreload 77339 4519493056 Watching for file changes with StatReloader
INFO 2020-08-07 12:35:42,767 basehttp 77339 123145563353088 "POST /user_manage/login/ HTTP/1.1" 200 2780
INFO 2020-08-07 12:38:49,698 basehttp 77339 123145563353088 "GET /user_manage/register/ HTTP/1.1" 200 6836
INFO 2020-08-07 12:38:49,724 basehttp 77339 123145563353088 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2020-08-07 12:39:02,856 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 2695
INFO 2020-08-07 12:39:14,362 basehttp 77339 123145563353088 "GET /user_manage/register/ HTTP/1.1" 200 6836
INFO 2020-08-07 12:39:54,405 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 2695
INFO 2020-08-07 12:58:22,780 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3663
INFO 2020-08-07 12:58:22,810 basehttp 77339 123145563353088 "GET /static/css/register.css HTTP/1.1" 304 0
INFO 2020-08-07 12:58:22,815 basehttp 77339 123145563353088 "GET /static/js/login.js HTTP/1.1" 304 0
INFO 2020-08-07 12:58:37,013 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3663
INFO 2020-08-07 12:58:42,846 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3663
INFO 2020-08-07 12:59:46,166 basehttp 77339 123145563353088 "GET /user_manage/login/ HTTP/1.1" 200 3736
